job_title,company,date_posted,city,province,country,url
Junior Data Engineer,Banque Scotia ,2024-02-26 13:48:43+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4582773622?utm_medium=api&utm_source=0c9ff2ac
Data Engineer (Remote),Jazz Aviation LP,2024-02-25 18:36:10+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4582083371?utm_medium=api&utm_source=0c9ff2ac
Manager: Data Engineering,Aviva Plc,2024-02-25 13:42:00+00:00,Unionville,Ontario,Canada,https://www.adzuna.ca/details/4582006222?utm_medium=api&utm_source=0c9ff2ac
Data Engineer: Forecasting Core Data Engineering,Amazon.com  Inc.,2024-02-25 13:41:51+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4582005177?utm_medium=api&utm_source=0c9ff2ac
Junior Data Engineer,Scotiabank,2024-02-24 15:05:05+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4581376165?utm_medium=api&utm_source=0c9ff2ac
Junior Data Engineer,Scotiabank,2024-02-24 05:35:49+00:00,East York,Ontario,Canada,https://www.adzuna.ca/details/4580694665?utm_medium=api&utm_source=0c9ff2ac
Data Engineer: Forecasting Core Data Engineering,Amazon,2024-02-23 15:08:04+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4580241349?utm_medium=api&utm_source=0c9ff2ac
Cloud Data Engineer,Cineplex,2024-02-23 13:45:04+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4580113105?utm_medium=api&utm_source=0c9ff2ac
Senior Data Engineer,Enable,2024-02-23 13:44:42+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4580111458?utm_medium=api&utm_source=0c9ff2ac
Data Engineer: Forecasting Core Data Engineering,Amazon Development Centre Canada ULC,2024-02-22 18:39:10+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4579063834?utm_medium=api&utm_source=0c9ff2ac
Data Engineer,Crypto Recruit,2024-02-22 04:40:31+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4578193569?utm_medium=api&utm_source=0c9ff2ac
Senior Data Engineer,Local Logic,2024-02-20 16:17:33+00:00,Montréal,Québec,Canada,https://www.adzuna.ca/details/4576084846?utm_medium=api&utm_source=0c9ff2ac
Director of Data Engineering,ABC Fitness Solutions,2024-02-17 13:33:20+00:00,Ontario,Ontario,Canada,https://www.adzuna.ca/details/4573181105?utm_medium=api&utm_source=0c9ff2ac
Director of Data Engineering,ABC Fitness Solutions,2024-02-17 13:33:10+00:00,-,-,Canada,https://www.adzuna.ca/details/4573179816?utm_medium=api&utm_source=0c9ff2ac
Senior Data Engineer,SpotHero,2024-02-17 13:32:55+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4573178470?utm_medium=api&utm_source=0c9ff2ac
