job_title,company,date_posted,city,province,country,url
Consultant: Program Effectiveness: Business Intelligence and Data Analytics,Government of Saskatchewan,2024-03-03 04:59:03+00:00,Regina region,Saskatchewan,Canada,https://www.adzuna.ca/details/4590717275?utm_medium=api&utm_source=0c9ff2ac
Data Scientist - Data Analytics and Infrastructure,Ample Insight Inc.,2024-03-02 18:39:42+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4590505732?utm_medium=api&utm_source=0c9ff2ac
Data Analytics Manager: Application Support Lead,Mondelez International,2024-03-02 15:04:46+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4590431759?utm_medium=api&utm_source=0c9ff2ac
Global Data & Analytics Transformation Product Owner,Mars,2024-03-02 13:52:17+00:00,Newmarket,Ontario,Canada,https://www.adzuna.ca/details/4590336049?utm_medium=api&utm_source=0c9ff2ac
Data & Analytics Training and Support Specialist,Day & Ross Transportation Group,2024-03-02 13:51:11+00:00,New Brunswick,New Brunswick,Canada,https://www.adzuna.ca/details/4590334037?utm_medium=api&utm_source=0c9ff2ac
Data & Analytics - Lead Data Analyst,Aritzia,2024-03-02 07:53:35+00:00,Greater Vancouver,British Columbia,Canada,https://www.adzuna.ca/details/4589693538?utm_medium=api&utm_source=0c9ff2ac
Data & Analytics - Senior Data Analyst,Aritzia,2024-03-02 07:53:35+00:00,Greater Vancouver,British Columbia,Canada,https://www.adzuna.ca/details/4589693513?utm_medium=api&utm_source=0c9ff2ac
Data & Analytics - Senior Data Platform Engineer,Aritzia,2024-03-02 07:53:26+00:00,Greater Vancouver,British Columbia,Canada,https://www.adzuna.ca/details/4589692263?utm_medium=api&utm_source=0c9ff2ac
Consultant: Program Effectiveness: Business Intelligence and Data Analytics,Ministry,2024-03-02 04:59:20+00:00,Regina region,Saskatchewan,Canada,https://www.adzuna.ca/details/4589498017?utm_medium=api&utm_source=0c9ff2ac
Audit Data Analytics Specialist,Fidelity Investments Canada ULC,2024-03-01 13:50:50+00:00,Toronto Dominion Centre,Ontario,Canada,https://www.adzuna.ca/details/4588710748?utm_medium=api&utm_source=0c9ff2ac
Data Scientist - Data Analytics and Infrastructure,Ample Insight Inc.,2024-03-01 07:15:36+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4587937660?utm_medium=api&utm_source=0c9ff2ac
IH Data and Analytics Student,02002591,2024-03-01 05:03:22+00:00,Kelowna,British Columbia,Canada,https://www.adzuna.ca/details/4587627354?utm_medium=api&utm_source=0c9ff2ac
Associate Director: Data Analytics and Reporting,Okanagan College,2024-02-27 18:33:15+00:00,Kelowna,British Columbia,Canada,https://www.adzuna.ca/details/4584329601?utm_medium=api&utm_source=0c9ff2ac
Senior Business Analyst for Data Analytics Project,S.i. Systems,2024-02-22 05:12:15+00:00,Edmonton,Alberta,Canada,https://www.adzuna.ca/details/4578233811?utm_medium=api&utm_source=0c9ff2ac
Manager: Data Analytics & Enterprise Risk Management,Ontario Financing Authority,2024-02-21 05:20:55+00:00,Toronto,Ontario,Canada,https://www.adzuna.ca/details/4576578830?utm_medium=api&utm_source=0c9ff2ac
Data and Analytics Senior Specialist,Volvo Car Corporation,2024-02-19 13:33:43+00:00,Richmond Hill,Ontario,Canada,https://www.adzuna.ca/details/4574713006?utm_medium=api&utm_source=0c9ff2ac
Product Manager Data and Analytics,CAE USA INC,2024-02-17 15:04:05+00:00,Richmond,British Columbia,Canada,https://www.adzuna.ca/details/4573281577?utm_medium=api&utm_source=0c9ff2ac
Engineer In Training Image Data Analytics,Canadian Pacific Railway ,2024-02-17 13:32:56+00:00,Saddledome,Alberta,Canada,https://www.adzuna.ca/details/4573178581?utm_medium=api&utm_source=0c9ff2ac
Data & Analytics - Lead Data Analyst,Aritzia,2024-02-17 13:32:54+00:00,Chaldecutt,British Columbia,Canada,https://www.adzuna.ca/details/4573178427?utm_medium=api&utm_source=0c9ff2ac
